file,chunk_id,cluster,is_rep,snippet,umap_x,umap_y
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,0,10,False,"The Eurasia Proceedings of Science, Technology, Engineering & Mathematics (EPSTEM) ISSN: 2602-3199 - This is an Open Access article distributed under the terms of the Creative Commons Attribution -Non",9.9895735,4.4727783
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,1,10,False,"te Carlo simulation technique is emplo yed. Preliminary results indicate that the FIS and ANFIS models exhibit promising performance in predicting the annual yield of citrus growth. However, a detaile",9.97869,4.5215797
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,2,10,False,"dict wheat yields. Forecasting crop yields also frequently makes use of fuzzy time seri es. Narendra et al. (2012) forecasted wheat yield using the same methods as Sakin did in 2010, who generated fuz",9.991418,4.47548
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,3,10,False,s for FIS and ANFIS modelling Data Description Range Inputs Average temperature ( oC) 17.0 - 25.0 Average rainfall (mm) 140.0 - 600.0 Average relative humidity (%) 55.0 – 80.0 Output Citrus yield (kg/,9.984792,4.5007997
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,4,10,False,"ed with the actual yield values and relevant evaluation metrics, such as mean squared error (MSE) and R-squared were calculated. ANFIS Modelling The Adaptive Neuro -Fuzzy Inference System (ANFIS) is a",9.987861,4.609553
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,5,3,False,"ge method results in a crisp result from the fuzzy result (Jang, 1993). The predicted values were compared with the actual yield values and relevant evaluation metrics, such as mean squared error (MSE",9.991074,4.5066576
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,6,10,False,put p arameter could be obtained from previous research by Al-Shanableh (2022). In FIS section 32 rules were created to train the fuzzy model and by using those rules lowest RMSE was obtained. Trained,9.997676,4.51353
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,7,10,False,ss2mf [3 3 3] 32 780 2.3489 2.4573 ANFIS-4 gbellmf [3 3 3] 32 660 1.7641 2.0814 ANFIS-5 gbellmf [4 4 4] 44 780 1.5524 1.8932 ANFIS-6 gbellmf [5 4 4] 50 900 1.3381 2.1205 ANFIS-7 (*) gbellmf [5 5 4] 62,10.014016,4.485971
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,8,10,False,d FIS and ANFIS models Data Sets FIS ANFIS RMSE R2 RMSE R2 Training 0.952 0.938 0.943 0.966 Verification - - 1.393 0.897 Testing 1.109 0.899 1.669 0.855 Overall 1.066 0.913 1.160 0.935 Uncertainty Ana,9.989791,4.5152016
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,9,10,False,"sses for citrus growers and agricultural planners. Further research may focus on incorporating additional environmental variables, exploring different membership functions and fuzzy rules, and applyin",9.985806,4.4725237
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.pdf,10,10,False,"rence system. IEEE Transactions on Systems, Man, and Cybernetics, 23, 665-685. Khoshnevisan, B., Rafiee, S., Omid, M., & Mousazadeh, H. (2014). Prediction of potato yield based on energy inputs using ",9.976306,4.4702306
test_data\A_Comparative_Analysis_of_Uncertainty_Assessment_for_Annual_Yield_Prediction_of_.txt,0,15,False,title: A Comparative Analysis of Uncertainty Assessment for Annual Yield Prediction of Citrus Growth Using FIS and ANFIS Models authors: Filiz ALSHANABLEH published: 2023-10-16 doi: 10.55549/epstem.13,9.983584,4.482951
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,0,10,False,"International Journal of Scientific Research in Engineering and Management (IJSREM) Volume: 08 Issue: 06 | June - 2024 SJIF Rating: 8.448 ISSN: 2582-3930 © 2024, IJSREM | www.ijsrem.com DOI: 10.55041/",8.948855,2.1757088
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,1,10,False,"ysis is applied to live feed captured with the help of CCTV. The live feed is then processed using the OpenCV library, the objects are detected using the YOLOv 4 model which is further passed to DEEPS",8.923901,2.2042525
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,2,10,False,"propriate algorithm for traffic forecasting and provide insights to traffic officials and experts in the field. For the study of algorithms, traffic flow of the area shown in the map between two hospi",8.938937,2.1599944
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,3,10,False,"on engineers, enabling them to improve the safety and efficiency of our transportation systems and ensure that our roads and highways are safe and reliable for all users. The main objective is to comp",8.937816,2.1891513
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,4,10,False,"r to Jagatpura. It applies the utilization of LSTM. In [7], the three sets of data are recorded at intervals of 15 minutes by three traffic flow detectors in different traffic environments. Algorithms",8.90203,2.2095568
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,5,10,False,"rious traffic flow prediction techniques Sr No. Dataset used Techniques/Algorithms Limitations [1] Caltrans PeMS SAE model, greedy layer Overfitting of the model can occur when traffic flow data shows",8.928725,2.2065642
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,6,1,False,n of appearance and motion information to track objects and assign unique identifiers to each object in the video stream. The scenarios used for object tracking are depicted in Fig. 2. Fig 2: Object T,8.859198,2.267206
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,7,1,False,"SVM at 20%. Decision tree outperforms by 1%, 40% and 79% as compared to RF, kNN and SVM respectively. The study also analyzed strengths and weaknesses of each algorithm, identifying kNN as ideal for n",8.738254,2.3530457
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,8,10,False,"learning algorithm for a specific dataset, based on various factors. Decision tree and Random Forests were found to be efficacious methods for forecasting traffic flow, and updating the data frequentl",9.003189,2.1415305
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.pdf,9,9,False,"Khairul Khalil Ishak2 , Suzaimah Ramli1 , Mohd Fahmi Mohamad Amran1 and Sazali Sukardi3, “Gap, techniques and evaluation: traffic flow prediction using machine learning and deep learning”, 2021 Intern",8.959624,2.226105
test_data\A_Comparative_Study_of_Various_Traffic_Flow_Prediction_Techniques_Using_ML_Model.txt,0,10,False,"title: A Comparative Study of Various Traffic Flow Prediction Techniques Using ML Models and Real-Time Analysis authors: , Bhushan Yelure published: 2024-6-22 doi: 10.55041/ijsrem36018 abstract: <jats",8.91867,2.2294428
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,0,14,False,"Page 1/37 A Comprehensive Survey Integrating ScientometricAnalysis and ML approaches for Data Protection Haseeba Yaseen (  haseebayaseen@gmail.com ) Maulana Azad National Urdu University, Central Uni",5.8266487,4.456315
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,1,14,True,"asures in forthcoming blockchain-based systems. 1. INTRODUCTION The emergence of smart contracts on blockchain platforms has ushered in a transformative era in digital transactions, offering signi can",5.841132,4.4176826
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,2,9,False,"g (NLP) and Machine Learning (ML) [30]–[38]. Upon reviewing multiple literature surveys, it is evident that the majority focus on utilizing Block Chain for security and privacy, while others leverage ",5.7540755,4.5457163
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,3,14,False,"e of articles, examine the rate of collaborative research-work, in order to nd the productive authors, growth rate of publications, number of citations of an authors and co-authors etc. Search Queries",5.859357,4.4479513
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,4,14,False,lassi cations that aid in the categorization of publications into distinct domains or disciplines. These categories facilitate focused analysis on speci c research areas and enable exploration of inte,5.8878927,4.465479
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,5,14,False,"dological thoroughness. Table 2 Research Categories related to Smart Contract Category Publications Information and Computing Sciences 60492 Commerce, Management, Tourism and Services 17817 Human Soci",5.890767,4.3595624
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,6,14,False,"y, cost savings, transparency, and swiftness [6–7]. Basically, smart contracts are written in Solidity programming language [8], follows a statically typed approach, necessitating the explicit declara",5.909212,4.302037
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,7,14,False,"eumVirtualMachine) Solidity,Vyper ✓ Public 100,000(TPS) PoS (Proofof Stake) BinanceSmartChain BSC VirtualMachine Solidity,Vyper ✓ Public 3000(TPS) DPoS(DelegatedProof ofStake) Cardano Plutus PlutusScr",5.8540974,4.432322
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,8,14,False,"orks, an overview of the blockchain research domains was delineated. Utilizing the VOSviewer software, a knowledge domain map representing the relationships between keywords was generated. The resulti",5.8753767,4.446023
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,9,5,False,"(“co-words”) in this eld are used together in articles or patents. For each word, its co-occurrence with another word is analyzed, along with its frequency. The words in question are speci c to each t",5.983836,4.4888453
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,10,0,False,"r and at least 2 citations was enforced, leading to the identi cation of 10,221 authors. Among them, 799 authors met the stipulated criteria, and 146 exhibited interconnectedness, utilizing the fracti",5.9545684,4.4721494
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,11,14,False,"l, providing valuable insights into international collaboration networks [33]. By analyzing the a liations of authors and their co-authorship patterns, researchers can gain a deeper understanding of k",5.9799786,4.505201
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.pdf,12,14,False,documents as weight. B. Citation Analysis with source as Unit: The citation analysis with the source as a unit refers to the speci c publication or journal in which the article is published. It is the,6.0551605,4.492519
test_data\A_Comprehensive_Survey_Integrating_Scientometric_Analysis_and_ML_approaches_for_.txt,0,9,False,"title: A Comprehensive Survey Integrating Scientometric Analysis and ML approaches for Data Protection authors: Haseeba Yaseen, Syed Imtiyaz Hassan published: 2024-1-18 doi: 10.21203/rs.3.rs-3869221/v",5.8204308,4.491307
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,0,9,False,"Scholar Publishing Group Machine Learning Theory and Practice https://doi.org/10.38007/ML.2023.040103 ISSN 2790-0983 V ol. 4, Issue 1: 18-26 Copyright: © 2023 by the authors. This is an Open Access ar",8.655855,5.629614
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,1,8,False,"are developing rapidly, and behind the high-tech are computer technology, network communication, bioengineering and other science and technology. Therefore, people are increasingly concerned about how",8.652117,5.4758787
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,2,8,False,"ion results show an increase in workspace and a decrease in mission time along the motion path members [3]. In recent years, domestic scholars have done a lot of research on the over fitting problem, ",8.739228,5.624762
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,3,5,False,"can be improved and the dimension of the artificial neural network can be reduced. Using machine learning algorithm to improve the traditional PIDE design, the over fitting function based on immune op",8.756727,5.646236
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,4,5,False,transmitted to the new individual through them in the process of biological evolution. Search and predict the algorithm related to it and can improve the accuracy of model parameters through a certain,8.733353,5.657662
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,5,5,False,"t an approximate model spectrum distribution function obtained by dividing n sets of data sets into several subsequences and calculating their parameter values, and there is no attribute vector or oth",8.772235,5.798155
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,6,5,False,"this problem, the method generated by the combination of evolutionary strategy and natural language processing method is applied. First, initialize the data, then use the adaptive genetic algori thm t",8.5560055,5.6006603
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,7,5,False,"e is attracted by the current centroid position, and carries out local fine search around it. The expression of the centroid is:     N i i N i ii c m xm x 1 1 (2) It can complete tasks by using o",8.695429,5.579577
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,8,5,False,M Agent Environme nt Virtual machine to be allocated Data Center Action Rewar d State Observation Figure 3. A framework for preventing the over-fitting of the Dropout optimization algorithms 3.2. Perf,8.700945,5.603447
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,9,8,False,"rfitting efficiency(%) 1 4 4 98 2 3 5 96 3 5 3 98 4 5 4 90 5 4 3 96 Figure 4. Performance of Dropout optimization algorithm for preventing overfitting In this paper, we propose an impro ved performanc",8.731834,5.6405497
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,10,9,False,e effect of hyper fittin g on biological signal processing. Funding This article is not supported by any foundation. Data Availability Data sharing is not applicable to this article as no new data wer,7.3256474,4.9098487
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.pdf,11,9,False,"of Machine Learning Models for Medical Diagnosis. Advances in Science Technology and Engineering Systems Journal, 2020, 5(5):469-477. [10] Peji A ,Molcer P S . Predictive Machine Learning Approach for",7.415712,5.149029
test_data\A_Dropout_Optimization_Algorithm_to_Prevent_Overfitting_in_Machine_Learning.txt,0,9,False,title: A Dropout Optimization Algorithm to Prevent Overfitting in Machine Learning authors: published: 2023-3-10 doi: 10.38007/ml.2023.040103 abstract: pdf_url: http://scholar-press.com/uploads/papers,7.996041,5.4528604
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,0,3,False,"1 A Framework for Automatic Calibration of SWMM Considering Input Uncertainty Xichao Gao 1,2, Zhiyong Yang 1,*, Dawei Han2, Guoru Huang3, Qian Zhu4 1State Key Laboratory of Simulation and Regulation o",13.352675,8.397969
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,1,3,False,"models have been developed in rece nt decades which are widely used in urban flooding prediction and water resources management (Bisht et al., 2016; Rodriguez et al., 2008; Rubinato et al., 2013). Amo",13.300191,8.39855
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,2,3,False,"ming. Whether it can obtain the global best -fit parameter values is determined by the experience and expert judgement of practitioners. To improve calibration efficiency, many automatic calibration p",13.375582,8.388446
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,3,3,False,"ng parameter uncertainty with 55 fuzzy α-cut technique. Other studies about uncertainty analysis can also be found in Gorgoglione et al. (Gorgoglione et al., 2019), Sharifan et al. (Sharifan et al., 2",13.377008,8.387944
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,4,3,False,"ed SWMM developed by Emnet (https://github.com/OpenWaterAnalytics/pyswmm), is expanded by add ing some application programming interface (API) functions, which is used to obtain and adjust SWMM parame",13.371481,8.390829
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,5,3,False,"iven in Section 4, and a short conclusion of the study is presented in Section 5. 2 Methods 90 2.1 The SWMM model SWMM simulates rainfall -runoff process on a c ollection of sub -catchment areas which",13.357324,8.358073
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,6,3,False,"simulation of a catchment by the SWMM model can be expressed by Eq. 1: Y = f(θ,ζ̂,φ̂) (1) 110 where Y = {y1,...,yn} represents the simulated results of the model such as streamflow; ˆ refers to the m",13.377999,8.355586
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,7,3,False,ss-2020-367 Preprint. Discussion started: 17 August 2020 c⃝Author(s) 2020. CC BY 4.0 License. 5 An algorithm which can consider different sources of error is needed to minimize the residuals expressed,13.398641,8.354489
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,8,18,False,"ing these multipliers ( m = {m1,...,mn}) within a reasonable range, the errors associated with rainfall forcing can be reduced. Compared with the additive errors model, the multiplicative errors model",12.665382,5.5706015
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,9,3,False,"del are connected within a Python platfo rm. As described in Section 2.1, the SWMM model is packaged through Python language and some APIs used to obtain and change the parameter values of the SWMM mo",13.265596,8.390371
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,10,3,False,t rainfall data. The accuracy of the tipping rain gauge is 0.2 mm. An ultrasonic flowmeter with the accuracy of 2%FS (full scale) was placed in the manhole near the outfall of the drainage system of t,13.095123,8.438546
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,11,3,False,"uential parameters from non -influential parameters (Behrouz et al., 2020; Niazi et al., 205 2017). In this study, the Morris method is used for the parameter sensitivity analysis. The Morris method i",13.391468,8.32914
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,12,3,False,"rameters of SWMM and the storm depth multipliers. According to the land use, the sub -catchments are divided into two categories including commercial land sub -catchments and green land sub-catchments",13.36839,8.348687
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,13,3,False,"rrow interval included in the individual prior range of the parameters, which indicates that these parameters ar e more sensitive than others in the study area and the DREAM method is capable to find ",13.414642,8.310887
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,14,3,False,omenon of equifinality in the SWMM model. It can also be found from the hyd rographs that the calibrated SWMM model underestimates the peak flow for most rainfall events. This may lead to the failure ,13.406219,8.379873
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,15,3,False,"sian distribution except the storm depth multipliers for rainfall events during the validation period, which indicates th at the DREAM method can define storm depth multipliers well. The storm depth m",13.522422,8.220404
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,16,3,False,"0 determines how much rainfall can be absorbed by the soil. However, the studie d area is dominated by impervious areas, the impact of the antecedent soil moisture is considered to be small. The runof",13.35723,8.398641
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.pdf,17,3,False,"hrough the newly developed API functions built in SWMM to obtain and adjust parameter values of SWMM models. A rainfall error model, featured by storm depth multiplier, was also integrated into the fr",13.390333,8.373301
test_data\A_Framework_for_Automatic_Calibration_of_SWMM_Considering_Input_Uncertainty.txt,0,3,False,"title: A Framework for Automatic Calibration of SWMM Considering Input Uncertainty authors: Xichao Gao, Zhiyong Yang, Dawei Han, Guoru Huang, Qian Zhu published: 2020-8-17 doi: 10.5194/hess-2020-367 a",13.37011,8.40676
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,0,7,False,"International Journal of Scientific Research in Engineering and Management (IJSREM) Volume: 09 Issue: 09 | Sept - 2025 SJIF Rating: 8.586 ISSN: 2582-3930 © 2025, IJSREM | https://ijsrem.com DOI: 10.55",14.0238495,11.469534
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,1,7,False,"-based learning. A detailed discussion of benchmark datasets, evaluation metrics, and comparative performance across models is provided, offering insights into the strengths and weaknesses of these ap",13.90998,11.2348385
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,2,7,False,"including age, gender, blood pressure, cholesterol, glucose levels, obesity, lifestyle habits, genetic predisposition, and comorbidities such as diabetes. These complex interactions make prediction hi",13.95059,11.444575
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,3,7,False,"tegration to capture complex patient -specific variations at both the feature and population levels. Pre -trained and fine -tuned on diverse medical datasets, these architectures have demonstrated sta",13.904504,11.232382
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,4,7,False,"issing values, and cross-population generalization. 2.2 Deep Learning Architectures • ANN and CNN: Artificial Neural Networks (ANNs) were among the first DL methods used to model non - linear relation",13.897841,11.046933
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,5,7,False,Recent works explore federated learning to ensure privacy -preserving heart disease prediction and explainable AI (XAI) frameworks to enhance clinical trust and adoption. Figure 1 Taxonomy of Heart Di,13.899025,11.110243
test_data\A_Heart_Disease_Prediction_in_the_Age_of_AI__A_Comprehensive_Review_of_ML_and_DL.pdf,6,7,False,"ccuracy/Other) Remarks Detrano et al. (Logistic Regression, SVM) 1989 UCI Cleveland Heart Dataset ML ~77% Accuracy Early baseline methods; limited generalization Gudadhe et al. (Decision Trees, NB, AN",13.955407,11.274061
